"N","CH1","CH2"
1,-28,-28
2,-28,-28
3,-28,-30
4,-28,-30
5,-28,-29
6,-28,-30
7,-27,-29
8,-29,-30
9,-28,-29
10,-28,-29
11,-28,-29
12,-28,-30
13,-28,-30
14,-28,-30
15,-28,-29
16,-28,-29
17,-28,-30
18,-29,-29
19,-28,-29
20,-29,-30
21,-28,-29
22,-28,-30
23,-28,-29
24,-29,-29
25,-28,-30
26,-28,-29
27,-28,-29
28,-28,-29
29,-28,-29
30,-28,-29
31,-28,-29
32,-28,-29
33,-28,-29
34,-28,-29
35,-28,-29
36,-28,-29
37,-28,-29
38,-27,-29
39,-28,-29
40,-28,-28
41,-28,-29
42,-27,-29
43,-28,-29
44,-28,-29
45,-28,-29
46,-28,-28
47,-28,-28
48,-28,-29
49,-28,-29
50,-28,-29
51,-28,-28
52,-28,-28
53,-29,-28
54,-29,-29
55,-28,-29
56,-29,-29
57,-28,-28
58,-28,-29
59,-28,-28
60,-28,-28
61,-28,-28
62,-28,-28
63,-28,-28
64,-28,-28
65,-28,-28
66,-28,-28
67,-28,-27
68,-28,-28
69,-28,-28
70,-28,-27
71,-27,-28
72,-28,-28
73,-27,-27
74,-28,-27
75,-29,-27
76,-28,-27
77,-28,-27
78,-28,-28
79,-28,-27
80,-28,-27
81,-28,-28
82,-28,-28
83,-28,-27
84,-28,-27
85,-28,-28
86,-28,-28
87,-28,-27
88,-28,-28
89,-28,-27
90,-28,-27
91,-28,-28
92,-28,-27
93,-28,-27
94,-28,-27
95,-28,-27
96,-28,-27
97,-28,-28
98,-28,-27
99,-28,-27
100,-28,-27
101,-28,-26
102,-28,-27
103,-27,-26
104,-28,-27
105,-27,-27
106,-28,-26
107,-27,-27
108,-28,-27
109,-28,-26
110,-27,-27
111,-28,-27
112,-28,-26
113,-28,-26
114,-28,-27
115,-28,-26
116,-28,-27
117,-27,-26
118,-28,-26
119,-28,-26
120,-28,-27
121,-27,-28
122,-28,-26
123,-27,-25
124,-29,-27
125,-28,-25
126,-28,-26
127,-27,-27
128,-28,-25
129,-28,-26
130,-28,-26
131,-28,-26
132,-28,-26
133,-28,-26
134,-28,-26
135,-27,-26
136,-28,-26
137,-28,-27
138,-28,-26
139,-28,-25
140,-28,-26
141,-28,-25
142,-27,-27
143,-28,-27
144,-28,-26
145,-28,-26
146,-28,-26
147,-28,-26
148,-28,-26
149,-28,-27
150,-28,-26
151,-27,-26
152,-28,-25
153,-28,-26
154,-27,-27
155,-28,-26
156,-29,-26
157,-28,-27
158,-28,-26
159,-28,-26
160,-27,-26
161,-28,-26
162,-28,-25
163,-28,-26
164,-28,-25
165,-28,-26
166,-27,-26
167,-27,-26
168,-28,-25
169,-27,-26
170,-28,-26
171,-28,-25
172,-28,-26
173,-28,-26
174,-27,-26
175,-28,-26
176,-27,-26
177,-28,-26
178,-28,-25
179,-28,-26
180,-28,-26
181,-28,-26
182,-27,-26
183,-28,-26
184,-27,-26
185,-28,-26
186,-28,-26
187,-27,-26
188,-28,-26
189,-27,-27
190,-28,-26
191,-28,-26
192,-28,-27
193,-28,-27
194,-27,-26
195,-29,-26
196,-28,-27
197,-27,-26
198,-28,-26
199,-27,-26
200,-27,-26
201,-27,-26
202,-28,-26
203,-28,-26
204,-27,-26
205,-28,-26
206,-28,-26
207,-28,-26
208,-27,-26
209,-28,-26
210,-28,-26
211,-27,-26
212,-27,-26
213,-28,-25
214,-28,-26
215,-28,-27
216,-27,-26
217,-28,-26
218,-27,-26
219,-28,-26
220,-27,-26
221,-28,-26
222,-28,-27
223,-27,-26
224,-27,-26
225,-27,-27
226,-27,-27
227,-28,-26
228,-28,-27
229,-28,-27
230,-27,-26
231,-28,-27
232,-27,-26
233,-28,-26
234,-28,-26
235,-28,-27
236,-27,-27
237,-28,-27
238,-27,-27
239,-28,-27
240,-28,-27
241,-27,-27
242,-28,-26
243,-27,-26
244,-28,-28
245,-28,-27
246,-27,-27
247,-27,-27
248,-27,-28
249,-28,-26
250,-28,-27
251,-28,-27
252,-28,-27
253,-27,-27
254,-27,-27
255,-27,-27
256,-27,-27
257,-29,-27
258,-27,-27
259,-28,-26
260,-28,-27
261,-28,-27
262,-28,-27
263,-27,-27
264,-28,-28
265,-28,-27
266,-28,-27
267,-28,-26
268,-27,-26
269,-28,-27
270,-28,-27
271,-27,-27
272,-27,-27
273,-28,-27
274,-27,-27
275,-28,-27
276,-28,-27
277,-27,-28
278,-27,-27
279,-28,-27
280,-27,-28
281,-27,-27
282,-28,-27
283,-28,-28
284,-27,-27
285,-28,-27
286,-28,-28
287,-27,-27
288,-27,-27
289,-28,-27
290,-28,-27
291,-28,-27
292,-27,-27
293,-27,-27
294,-28,-28
295,-27,-26
296,-27,-27
297,-28,-28
298,-27,-28
299,-28,-27
300,-27,-28
301,-28,-28
302,-27,-27
303,-28,-27
304,-27,-27
305,-28,-27
306,-28,-27
307,-27,-27
308,-27,-27
309,-27,-27
310,-27,-28
311,-27,-27
312,-28,-27
313,-28,-28
314,-27,-28
315,-28,-28
316,-28,-28
317,-27,-28
318,-28,-27
319,-28,-28
320,-27,-27
321,-28,-28
322,-27,-28
323,-28,-28
324,-27,-28
325,-28,-28
326,-28,-28
327,-28,-28
328,-28,-28
329,-28,-28
330,-27,-28
331,-27,-28
332,-27,-28
333,-27,-28
334,-28,-27
335,-28,-28
336,-28,-28
337,-27,-27
338,-28,-27
339,-27,-27
340,-28,-27
341,-28,-27
342,-28,-27
343,-28,-27
344,-27,-28
345,-28,-27
346,-28,-28
347,-27,-27
348,-28,-28
349,-28,-28
350,-28,-26
351,-27,-28
352,-28,-28
353,-27,-27
354,-28,-27
355,-28,-28
356,-28,-28
357,-28,-28
358,-27,-28
359,-27,-28
360,-27,-28
361,-27,-27
362,-28,-28
363,-27,-28
364,-28,-27
365,-28,-28
366,-27,-28
367,-28,-28
368,-28,-28
369,-28,-28
370,-28,-27
371,-28,-28
372,-28,-27
373,-27,-28
374,-28,-28
375,-28,-28
376,-28,-27
377,-28,-28
378,-28,-28
379,-28,-28
380,-27,-27
381,-28,-28
382,-28,-28
383,-27,-27
384,-27,-28
385,-28,-28
386,-27,-27
387,-28,-27
388,-28,-28
389,-27,-27
390,-28,-27
391,-27,-28
392,-27,-27
393,-28,-27
394,-27,-28
395,-27,-28
396,-27,-27
397,-28,-28
398,-27,-28
399,-27,-27
400,-28,-28
401,-28,-28
402,-28,-28
403,-27,-27
404,-28,-28
405,-27,-27
406,-27,-27
407,-28,-28
408,-27,-27
409,-27,-28
410,-27,-28
411,-28,-28
412,-27,-28
413,-28,-27
414,-28,-27
415,-28,-28
416,-27,-27
417,-27,-28
418,-28,-27
419,-27,-27
420,-27,-28
421,-27,-27
422,-28,-28
423,-27,-28
424,-27,-28
425,-28,-27
426,-28,-28
427,-28,-28
428,-27,-28
429,-28,-27
430,-28,-27
431,-27,-28
432,-27,-27
433,-28,-27
434,-27,-28
435,-27,-26
436,-28,-28
437,-28,-28
438,-27,-27
439,-27,-27
440,-28,-28
441,-28,-27
442,-27,-27
443,-27,-28
444,-27,-27
445,-27,-27
446,-27,-27
447,-28,-27
448,-27,-27
449,-28,-27
450,-28,-28
451,-27,-27
452,-28,-27
453,-28,-27
454,-27,-27
455,-28,-27
456,-27,-27
457,-27,-27
458,-27,-27
459,-27,-28
460,-27,-27
461,-27,-27
462,-28,-28
463,-28,-28
464,-27,-28
465,-28,-27
466,-27,-27
467,-27,-27
468,-27,-27
469,-27,-27
470,-27,-28
471,-27,-27
472,-28,-27
473,-28,-28
474,-28,-27
475,-27,-27
476,-27,-28
477,-27,-27
478,-28,-26
479,-27,-27
480,-28,-27
481,-27,-27
482,-27,-27
483,-28,-27
484,-28,-26
485,-27,-27
486,-27,-27
487,-27,-26
488,-28,-27
489,-28,-28
490,-28,-26
491,-28,-27
492,-27,-28
493,-28,-27
494,-28,-26
495,-27,-27
496,-27,-27
497,-28,-27
498,-28,-27
499,-28,-28
500,-27,-27
501,-28,-27
502,-28,-27
503,-27,-27
504,-28,-27
505,-27,-27
506,-28,-27
507,-28,-26
508,-27,-27
509,-28,-28
510,-28,-27
511,-27,-27
512,-27,-27
513,-28,-27
514,-28,-27
515,-27,-27
516,-28,-26
517,-27,-26
518,-28,-27
519,-27,-27
520,-28,-26
521,-27,-28
522,-28,-27
523,-27,-27
524,-28,-27
525,-28,-28
526,-28,-27
527,-28,-27
528,-28,-27
529,-28,-27
530,-27,-26
531,-27,-27
532,-27,-27
533,-27,-27
534,-27,-27
535,-28,-27
536,-27,-26
537,-27,-26
538,-27,-27
539,-28,-26
540,-27,-26
541,-27,-27
542,-27,-26
543,-28,-27
544,-28,-27
545,-28,-26
546,-28,-27
547,-27,-27
548,-27,-27
549,-27,-27
550,-27,-26
551,-27,-27
552,-27,-27
553,-28,-26
554,-28,-28
555,-27,-26
556,-27,-27
557,-27,-26
558,-27,-27
559,-27,-27
560,-28,-27
561,-28,-27
562,-27,-26
563,-28,-27
564,-28,-27
565,-28,-27
566,-27,-27
567,-27,-27
568,-27,-27
569,-28,-26
570,-27,-27
571,-27,-27
572,-28,-27
573,-27,-27
574,-27,-28
575,-27,-26
576,-27,-27
577,-27,-27
578,-28,-26
579,-28,-27
580,-27,-27
581,-27,-27
582,-28,-27
583,-27,-26
584,-27,-26
585,-28,-27
586,-27,-27
587,-28,-27
588,-27,-27
589,-27,-27
590,-28,-27
591,-28,-26
592,-27,-27
593,-28,-27
594,-27,-26
595,-27,-27
596,-27,-27
597,-28,-26
598,-27,-27
599,-27,-28
600,-27,-27
601,-27,-27
602,-28,-27
603,-28,-27
604,-27,-26
605,-27,-26
606,-28,-27
607,-27,-27
608,-28,-27
609,-28,-27
610,-27,-27
611,-28,-26
612,-28,-27
613,-27,-27
614,-27,-26
615,-27,-28
616,-27,-27
617,-27,-27
618,-28,-26
619,-28,-27
620,-28,-27
621,-27,-27
622,-27,-27
623,-27,-27
624,-27,-26
625,-28,-27
626,-28,-27
627,-27,-26
628,-28,-27
629,-27,-27
630,-27,-27
631,-27,-27
632,-28,-27
633,-27,-27
634,-28,-27
635,-28,-27
636,-27,-27
637,-28,-27
638,-28,-27
639,-28,-28
640,-27,-27
641,-27,-27
642,-28,-27
643,-28,-26
644,-27,-26
645,-27,-27
646,-27,-27
647,-28,-27
648,-28,-28
649,-28,-27
650,-28,-27
651,-27,-27
652,-27,-27
